iter	Accuracy	Logloss
0	0.6113519905	0.692427033
1	0.6118118513	0.6917099527
2	0.6117461569	0.6910228012
3	0.6116147681	0.6903500846
4	0.6114176849	0.6897137223
5	0.6113519905	0.6890794372
6	0.6115490737	0.6884794044
7	0.6115490737	0.6878754473
8	0.6115490737	0.6872941906
9	0.6115490737	0.6866991012
10	0.6113519905	0.6861351483
11	0.6113519905	0.6856497652
12	0.6113519905	0.6851204861
13	0.6115490737	0.68459553
14	0.6115490737	0.6840884056
15	0.6114176849	0.6836726258
16	0.6113519905	0.6832334591
17	0.6113519905	0.6828214639
18	0.6113519905	0.682416255
19	0.6113519905	0.6819516696
20	0.6113519905	0.6815062265
21	0.6113519905	0.6811261546
22	0.6113519905	0.6807006311
23	0.6113519905	0.6803072645
24	0.6113519905	0.6798979872
25	0.6113519905	0.6795794242
26	0.6113519905	0.6792699321
27	0.6113519905	0.6788632836
28	0.6113519905	0.6785473967
29	0.6113519905	0.6782503443
30	0.6113519905	0.6779404684
31	0.6113519905	0.6775763472
32	0.6113519905	0.6772939322
33	0.6113519905	0.6770102923
34	0.6113519905	0.6766622177
35	0.6113519905	0.6763931201
36	0.6113519905	0.6761361371
37	0.6113519905	0.6758975315
38	0.6113519905	0.6755898951
39	0.6113519905	0.6752888322
40	0.6113519905	0.6750598796
41	0.6113519905	0.6747984162
42	0.6113519905	0.674559076
43	0.6113519905	0.6743030525
44	0.6113519905	0.6740534991
45	0.6113519905	0.6738321242
46	0.6113519905	0.6735648548
47	0.6113519905	0.6733030786
48	0.6113519905	0.6730490449
49	0.6113519905	0.67285295
50	0.6113519905	0.672614592
51	0.6113519905	0.6723872363
52	0.6113519905	0.6721839521
53	0.6113519905	0.6719918408
54	0.6113519905	0.6717659096
55	0.6113519905	0.671566386
56	0.6113519905	0.6713572118
57	0.6113519905	0.6711784686
58	0.6113519905	0.6709938945
59	0.6113519905	0.6708142202
60	0.6113519905	0.6706345658
61	0.6113519905	0.6704705675
62	0.6113519905	0.6703002968
63	0.6113519905	0.6701477788
64	0.6113519905	0.6699906804
65	0.6113519905	0.6698034891
66	0.6113519905	0.6696419463
67	0.6113519905	0.6694897166
68	0.6113519905	0.66935466
69	0.6113519905	0.6691908161
70	0.6113519905	0.6690266005
71	0.6113519905	0.6688566657
72	0.6113519905	0.66870088
73	0.6113519905	0.6685456038
74	0.6113519905	0.6684197334
75	0.6113519905	0.6682864294
76	0.6113519905	0.6681361815
77	0.6113519905	0.667996863
78	0.6113519905	0.6678410889
79	0.6113519905	0.6677113187
80	0.6113519905	0.6675675519
81	0.6113519905	0.6674333907
82	0.6113519905	0.6673137227
83	0.6113519905	0.6672054453
84	0.6113519905	0.6670944368
85	0.6113519905	0.6669688519
86	0.6113519905	0.6668572281
87	0.6113519905	0.6667519166
88	0.6113519905	0.6666454288
89	0.6113519905	0.6665450305
90	0.6113519905	0.6664332394
91	0.6113519905	0.6663176584
92	0.6113519905	0.6662044572
93	0.6113519905	0.6660841799
94	0.6113519905	0.6659754945
95	0.6113519905	0.6658595989
96	0.6113519905	0.6657582599
97	0.6113519905	0.6656513333
98	0.6113519905	0.6655683655
99	0.6113519905	0.6654744389
100	0.6113519905	0.6653874803
101	0.6113519905	0.6652856669
102	0.6113519905	0.6652118565
103	0.6113519905	0.6651156222
104	0.6113519905	0.6650260946
105	0.6113519905	0.6649401532
106	0.6113519905	0.6648665752
107	0.6113519905	0.6647805188
108	0.6113519905	0.6647057303
109	0.6113519905	0.664623345
110	0.6113519905	0.6645681824
111	0.6113519905	0.6644947921
112	0.6113519905	0.6644166524
113	0.6113519905	0.664331689
114	0.6113519905	0.6642556024
115	0.6113519905	0.6641690853
116	0.6113519905	0.6640988374
117	0.6113519905	0.6640157637
118	0.6113519905	0.6639384014
119	0.6113519905	0.6638675061
120	0.6113519905	0.663808263
121	0.6113519905	0.6637325532
122	0.6113519905	0.6636657204
123	0.6113519905	0.6636037556
124	0.6113519905	0.6635224781
125	0.6113519905	0.6634527654
126	0.6113519905	0.6633884004
127	0.6113519905	0.6633208532
128	0.6113519905	0.6632501606
129	0.6113519905	0.6631873879
130	0.6113519905	0.6631314984
131	0.6113519905	0.6630702729
132	0.6113519905	0.6630225667
133	0.6113519905	0.6629815059
134	0.6113519905	0.6629235099
135	0.6113519905	0.662882067
136	0.6113519905	0.6628311347
137	0.6113519905	0.6627717012
138	0.6113519905	0.6627073212
139	0.6113519905	0.6626703169
140	0.6113519905	0.6626127991
141	0.6113519905	0.6625526974
142	0.6113519905	0.6625181147
143	0.6113519905	0.662457284
144	0.6113519905	0.662391695
145	0.6113519905	0.6623439241
146	0.6113519905	0.6622885382
147	0.6113519905	0.6622257752
148	0.6113519905	0.6621731384
149	0.6113519905	0.662114937
150	0.6113519905	0.6620629769
151	0.6113519905	0.6620245631
152	0.6113519905	0.6619767679
153	0.6113519905	0.6619350999
154	0.6114176849	0.661881165
155	0.6113519905	0.6618485528
156	0.6113519905	0.6617785838
157	0.6113519905	0.6617324507
158	0.6114176849	0.6616780103
159	0.6113519905	0.6616212126
160	0.6113519905	0.6615823438
161	0.6113519905	0.6615382744
162	0.6114176849	0.6614769753
163	0.6114176849	0.6614396752
164	0.6114176849	0.6613920491
165	0.6114176849	0.6613587412
166	0.6114176849	0.6613063865
167	0.6114176849	0.6612592109
168	0.6114176849	0.6612029997
169	0.6114176849	0.6611651367
170	0.6114176849	0.6611203725
171	0.6114176849	0.6610843332
172	0.6114176849	0.6610366999
173	0.6114176849	0.660990341
174	0.6114176849	0.6609403723
175	0.6114176849	0.6608900303
176	0.6114176849	0.6608552567
177	0.6114176849	0.6607894324
178	0.6114176849	0.6607563245
179	0.6114176849	0.6607210152
180	0.6114176849	0.6606867411
181	0.6114176849	0.6606328337
182	0.6114176849	0.6605682729
183	0.6114176849	0.6605277038
184	0.6114176849	0.6605013894
185	0.6114176849	0.6604577513
186	0.6114176849	0.6604212697
187	0.6114176849	0.6603946462
188	0.6114176849	0.6603481468
189	0.6114176849	0.6603051612
190	0.6114176849	0.6602748131
191	0.6114176849	0.6602419733
192	0.6114176849	0.660208567
193	0.6114176849	0.6601813733
194	0.6114176849	0.6601519229
195	0.6114176849	0.6601178795
196	0.6114176849	0.6600763463
197	0.6114176849	0.6600467384
198	0.6114176849	0.6600136524
199	0.6114176849	0.6599761641
200	0.6114176849	0.6599232655
201	0.6114176849	0.6598834577
202	0.6114176849	0.6598564947
203	0.6114176849	0.6598138945
204	0.6114176849	0.6597906331
205	0.6114176849	0.6597532805
206	0.6114176849	0.6597320373
207	0.6114176849	0.6597046423
208	0.6114176849	0.6596782911
209	0.6114176849	0.6596472436
210	0.6114176849	0.6596234937
211	0.6114176849	0.6595936279
212	0.6114176849	0.6595669676
213	0.6114176849	0.6595229337
214	0.6114176849	0.6594874819
215	0.6114176849	0.6594617038
216	0.6114176849	0.6594335052
217	0.6114176849	0.6594176151
218	0.6114833793	0.6593881173
219	0.6114833793	0.6593466003
220	0.6114833793	0.6593285581
221	0.6114833793	0.6593122428
222	0.6114833793	0.6592835313
223	0.6114833793	0.659259221
224	0.6114833793	0.6592324175
225	0.6114833793	0.6592145803
226	0.6115490737	0.6591772715
227	0.6115490737	0.6591441314
228	0.6115490737	0.6591220751
229	0.6115490737	0.6590939592
230	0.6115490737	0.6590707058
231	0.6115490737	0.6590519625
