iter	Passed	Remaining
0	3	3709
1	6	3466
2	10	3451
3	14	3522
4	17	3471
5	21	3570
6	27	3966
7	36	4502
8	45	5062
9	50	5033
10	55	4968
11	59	4891
12	63	4784
13	70	4962
14	73	4855
15	78	4811
16	82	4786
17	86	4711
18	90	4654
19	94	4613
20	98	4574
21	106	4743
22	111	4736
23	115	4699
24	122	4766
25	125	4719
26	129	4672
27	142	4951
28	146	4903
29	150	4853
30	163	5111
31	167	5056
32	170	5009
33	173	4941
34	177	4888
35	180	4841
36	196	5106
37	203	5152
38	208	5127
39	212	5092
40	216	5065
41	222	5075
42	226	5034
43	231	5026
44	234	4987
45	238	4950
46	242	4923
47	246	4897
48	251	4872
49	254	4832
50	258	4803
51	261	4772
52	266	4760
53	270	4735
54	275	4729
55	279	4703
56	283	4685
57	287	4668
58	294	4693
59	305	4785
60	310	4779
61	314	4759
62	318	4732
63	321	4705
64	325	4684
65	329	4660
66	333	4647
67	338	4640
68	341	4614
69	345	4591
70	349	4572
71	353	4553
72	356	4530
73	360	4509
74	363	4485
75	367	4470
76	371	4455
77	376	4447
78	380	4440
79	383	4414
80	387	4397
81	392	4390
82	400	4427
83	404	4409
84	408	4392
85	411	4376
86	415	4360
87	419	4343
88	422	4326
89	426	4309
90	430	4300
91	434	4286
92	439	4286
93	442	4268
94	449	4283
95	453	4268
96	456	4251
97	460	4235
98	464	4225
99	469	4221
100	472	4209
101	477	4203
102	481	4197
103	485	4184
104	489	4175
105	493	4164
106	498	4160
107	501	4143
108	505	4133
109	509	4122
110	512	4106
111	516	4095
112	520	4087
113	526	4090
114	529	4078
115	534	4075
116	543	4098
117	547	4091
118	551	4079
119	560	4107
120	564	4099
121	567	4085
122	571	4071
123	576	4069
124	579	4057
125	583	4048
126	587	4038
127	591	4031
128	603	4076
129	608	4069
130	611	4059
131	615	4047
132	619	4035
133	627	4057
134	631	4048
135	635	4037
136	642	4045
137	646	4036
138	649	4023
139	653	4015
140	657	4003
141	661	3996
142	664	3984
143	668	3976
144	677	3997
145	682	3992
146	686	3986
147	699	4025
148	703	4017
149	706	4006
150	710	3993
151	714	3983
152	717	3974
153	721	3966
154	726	3960
155	730	3950
156	736	3955
157	745	3974
158	757	4004
159	760	3991
160	766	3995
161	773	4000
162	777	3991
163	782	3987
164	786	3982
165	790	3972
166	794	3962
167	798	3952
168	805	3962
169	816	3986
170	824	3998
171	828	3989
172	842	4025
173	848	4029
174	853	4023
175	857	4016
176	861	4007
177	871	4026
178	876	4018
179	880	4011
180	886	4009
181	889	3998
182	893	3986
183	897	3978
184	901	3972
185	905	3964
186	910	3958
187	915	3953
188	920	3948
189	924	3942
190	928	3934
191	932	3926
192	938	3923
193	944	3922
194	952	3932
195	959	3936
196	963	3927
197	967	3918
198	971	3908
199	974	3899
200	981	3903
201	987	3899
202	990	3890
203	994	3880
204	1000	3879
205	1005	3875
206	1008	3865
207	1016	3870
208	1020	3861
209	1023	3851
210	1028	3844
211	1031	3834
212	1035	3827
213	1040	3820
214	1045	3816
215	1048	3805
216	1052	3799
217	1057	3793
218	1061	3785
219	1065	3778
220	1074	3786
221	1078	3781
222	1083	3774
223	1094	3793
224	1098	3783
225	1103	3778
226	1107	3772
227	1111	3765
228	1142	3845
229	1151	3854
230	1155	3846
231	1159	3837
232	1165	3835
233	1168	3825
234	1172	3816
235	1176	3809
236	1181	3802
237	1189	3809
238	1195	3805
239	1199	3797
240	1204	3792
241	1207	3782
242	1213	3780
243	1217	3773
244	1221	3765
245	1225	3757
246	1229	3747
247	1232	3737
248	1237	3732
249	1241	3724
250	1245	3716
251	1251	3715
252	1255	3706
253	1259	3699
254	1263	3690
255	1273	3701
256	1278	3694
257	1282	3686
258	1293	3701
259	1299	3697
260	1307	3702
261	1312	3697
262	1317	3692
263	1321	3682
264	1325	3676
265	1329	3667
266	1334	3663
267	1338	3655
268	1342	3647
269	1347	3643
270	1351	3636
271	1355	3627
272	1360	3621
273	1363	3613
274	1367	3605
275	1371	3597
276	1375	3590
277	1378	3581
278	1386	3581
279	1390	3574
280	1395	3570
281	1399	3564
282	1404	3557
283	1408	3550
284	1411	3540
285	1415	3533
286	1419	3525
287	1427	3528
288	1430	3520
289	1435	3514
290	1439	3508
291	1443	3500
292	1447	3492
293	1452	3487
294	1469	3511
295	1476	3510
296	1485	3515
297	1489	3509
298	1493	3501
299	1497	3494
300	1502	3489
301	1508	3485
302	1512	3480
303	1517	3474
304	1521	3466
305	1524	3458
306	1528	3451
307	1533	3444
308	1537	3437
309	1541	3431
310	1545	3423
311	1552	3424
312	1558	3419
313	1568	3425
314	1572	3420
315	1576	3413
316	1580	3405
317	1584	3399
318	1588	3391
319	1592	3384
320	1596	3377
321	1601	3372
322	1606	3367
323	1612	3365
324	1616	3357
325	1625	3361
326	1630	3355
327	1634	3348
328	1638	3341
329	1641	3333
330	1645	3325
331	1648	3317
332	1652	3310
333	1661	3312
334	1665	3305
335	1668	3298
336	1672	3291
337	1681	3293
338	1686	3287
339	1690	3280
340	1694	3274
341	1697	3266
342	1704	3264
343	1708	3259
344	1714	3254
345	1718	3248
346	1722	3240
347	1726	3233
348	1730	3227
349	1736	3224
350	1740	3217
351	1745	3212
352	1749	3206
353	1753	3199
354	1763	3204
355	1770	3202
356	1775	3198
357	1779	3191
358	1784	3185
359	1788	3179
360	1792	3172
361	1796	3165
362	1799	3157
363	1803	3151
364	1807	3145
365	1811	3137
366	1816	3132
367	1819	3124
368	1823	3117
369	1827	3111
370	1832	3106
371	1843	3112
372	1848	3106
373	1851	3099
374	1855	3092
375	1859	3085
376	1863	3080
377	1867	3072
378	1871	3066
379	1875	3060
380	1879	3053
381	1883	3047
382	1888	3042
383	1892	3036
384	1896	3029
385	1900	3023
386	1905	3018
387	1909	3011
388	1913	3004
389	1916	2998
390	1923	2996
391	1927	2989
392	1941	2998
393	1945	2991
394	1949	2985
395	1960	2990
396	1965	2985
397	1970	2980
398	1976	2977
399	1985	2978
400	1990	2973
401	1994	2966
402	1997	2959
403	2001	2953
404	2005	2946
405	2008	2939
406	2020	2943
407	2024	2937
408	2028	2930
409	2032	2924
410	2039	2923
411	2043	2916
412	2047	2910
413	2058	2913
414	2061	2905
415	2065	2899
416	2069	2892
417	2072	2886
418	2076	2879
419	2081	2874
420	2084	2866
421	2087	2859
422	2091	2852
423	2094	2845
424	2100	2841
425	2104	2835
426	2108	2828
427	2111	2821
428	2115	2815
429	2119	2809
430	2123	2803
431	2126	2796
432	2131	2791
433	2136	2786
434	2141	2781
435	2145	2774
436	2155	2776
437	2159	2771
438	2164	2765
439	2168	2759
440	2177	2759
441	2181	2754
442	2186	2749
443	2190	2742
444	2209	2755
445	2263	2811
446	2267	2805
447	2271	2799
448	2275	2792
449	2279	2786
450	2283	2779
451	2286	2772
452	2290	2765
453	2293	2758
454	2297	2751
455	2310	2756
456	2314	2749
457	2317	2742
458	2331	2748
459	2335	2741
460	2338	2734
461	2361	2750
462	2365	2743
463	2369	2737
464	2392	2752
465	2395	2745
466	2399	2738
467	2402	2731
468	2406	2724
469	2413	2721
470	2416	2714
471	2421	2708
472	2424	2701
473	2429	2695
474	2433	2689
475	2438	2684
476	2443	2679
477	2454	2680
478	2458	2674
479	2462	2667
480	2469	2664
481	2479	2664
482	2486	2661
483	2490	2655
484	2494	2648
485	2498	2642
486	2504	2638
487	2514	2638
488	2518	2631
489	2521	2624
490	2525	2618
491	2529	2611
492	2532	2604
493	2536	2598
494	2539	2591
495	2544	2585
496	2553	2584
497	2557	2578
498	2561	2571
499	2566	2566
500	2570	2560
501	2575	2554
502	2578	2548
503	2582	2541
504	2587	2536
505	2594	2532
506	2598	2526
507	2602	2520
508	2611	2518
509	2614	2511
510	2618	2505
511	2623	2500
512	2627	2493
513	2630	2487
514	2634	2480
515	2637	2473
516	2640	2466
517	2644	2460
518	2647	2453
519	2651	2447
